CUE,TARGET,NORMED?,#G,#P,FSG,BSG,MSG,OSG,#M,MMIAS,#O,OMIAS,QSS,QFR,QCON,QH,QPS,QMC,QPR,QRSG,QUC,TSS,TFR,TCON,TH,TPS,TMC,TPR,TRSG,TUC
sob,cry,true,139,105,0.755,0.065,0.0209,0.0075,2,0,1.0,0,4,0,4.21,,v,1.25,0.25,0.049,1,14,48,4.32,,v,1.69,0.77,0.292,1
astronomy,star,true,146,110,0.753,0.019,0.046,0.0074,4,0,3.0,0,7,24,3.84,,n,2.14,0.57,0.017,1,16,25,5.59,n,n,2.5,0.64,0.06,1
pony,horse,true,165,124,0.752,0.109,0.0362,0.0149,2,0,2.0,0,5,10,6.51,,n,0.8,0.6,0.086,1,16,117,6.03,,n,1.15,0.77,0.304,1
puppy,dog,true,141,106,0.752,0.115,0.0007,0.0,1,0,0.0,0,7,2,6.34,,n,0.71,0.57,0.092,1,5,75,5.75,,n,0.4,0.8,0.437,1
bad,good,true,184,138,0.75,0.758,0.0,0.0,0,0,0.0,0,9,142,3.0,,aj,0.33,0.56,0.571,1,8,807,2.53,,aj,0.75,0.75,0.586,1
attempt,try,true,195,146,0.749,0.13,0.0,0.0013,1,0,2.0,2,8,95,2.92,,v,0.75,0.13,0.097,1,16,140,2.5,t,v,1.33,0.53,0.132,1
petals,flower,true,127,95,0.748,0.079,0.0291,0.0196,2,0,1.0,0,3,4,5.74,,n,1.0,0.67,0.069,1,21,23,5.62,g,n,1.62,0.67,0.265,1
beginning,end,true,146,109,0.747,0.0,0.009,0.016,1,0,1.0,0,4,164,2.43,,n,0.5,0.0,0.0,1,8,410,3.16,g,n,1.43,0.57,0.293,1
swatter,fly,true,146,109,0.747,0.036,0.0025,0.006,2,3,1.0,0,8,0,4.39,,n,1.2,0.2,0.027,1,19,33,5.14,w,v,1.42,0.47,0.097,1
convent,nun,true,150,112,0.747,0.034,0.001,0.0052,1,2,1.0,1,6,4,5.33,,n,0.75,0.5,0.026,1,15,2,6.76,,n,2.0,0.5,0.053,1
infant,baby,true,142,106,0.746,0.045,0.0157,0.0177,2,1,4.0,2,6,11,6.76,,n,2.0,0.2,0.034,1,19,62,5.77,,n,2.05,0.63,0.14,1
aunt,uncle,true,130,97,0.746,0.706,0.002,0.0079,1,0,1.0,0,3,22,5.79,,n,1.33,1.0,0.542,1,6,57,5.71,g,n,1.17,0.5,0.531,1
salmon,fish,true,126,94,0.746,0.0,0.0267,0.0,4,0,0.0,0,6,3,6.24,,n,0.67,0.33,0.003,1,24,35,5.84,g,n,1.26,0.74,0.101,1
brother,sister,true,126,94,0.746,0.538,0.007,0.005,4,0,6.0,3,10,73,5.91,,n,3.3,0.4,0.407,1,16,38,5.71,,n,2.71,0.5,0.424,1
sparrow,bird,true,94,70,0.745,0.0,0.0886,0.0027,4,0,3.0,0,5,1,6.25,,n,1.8,0.0,0.0,1,23,31,5.77,,n,1.45,0.68,0.198,1
reply,answer,true,145,108,0.745,0.103,0.0209,0.0038,2,0,3.0,1,6,42,3.08,,v,2.33,0.33,0.077,1,9,152,3.85,,n,1.44,0.67,0.537,1
bluejay,bird,true,144,107,0.743,0.02,0.068,0.0011,2,1,2.0,1,6,0,5.8,,n,1.0,0.4,0.016,1,23,31,5.77,,n,1.45,0.68,0.198,1
there,here,true,152,113,0.743,0.632,0.0039,0.0,2,3,0.0,0,9,2724,2.12,,ad,0.5,0.5,0.472,0,4,750,2.81,,ad,0.5,0.75,0.478,1
